Difficulty,Time,Sum of HR,Hashrates,,,,,,,,,,,,,,,,,,,,,,,,,,
14484.1624,7.9817,129899628072.0120,,,,,,,,,,1.299E+11,,,,,,,,,,,,,,,,,
14484.1624,8.2209,126120270612.5120,,,,,,,,,,1.2612E+11,,,,,,,,,,,,,,,,,
16307.4209,9.1568,124375397360.1160,,,,,,,,,,1.24375E+11,,,,,,,,,,,,,,,,,
16307.4209,10.2902,113441127855.2630,,,,,,,,,,1.13441E+11,,,,,,,,,,,,,,,,,
16307.4209,9.2861,125706672187.8880,,,,,,,,,,1.25707E+11,,,,,,,,,,,,,,,,,
16307.4209,10.2817,113535028516.3760,,,,,,,,,,1.13535E+11,,,,,,,,,,,,,,,,,
16307.4209,8.7889,132818400107.9990,,,,,,,,,,1.32818E+11,,,,,,,,,,,,,,,,,
16307.4209,8.4694,137829012527.4160,,,,,,,,,,1.37829E+11,,,,,,,,,,,,,,,,,
16307.4209,8.8370,132095594577.1760,,,,,,,,,,1.32096E+11,,,,,,,,,,,,,,,,,
16307.4209,8.5607,136359259912.4380,,,,,,,,,,1.36359E+11,,,,,,,,,,,,,,,,,
16307.4209,8.6578,134830689141.8330,,,,,,,,,,1.34831E+11,,,,,,,,,,,,,,,,,
16307.4209,8.5870,135941205636.5410,,,,,,,,,,1.35941E+11,,,,,,,,,,,,,,,,,
16307.4209,7.6682,152230595827.0610,,,,,,,,,,1.52231E+11,,,,,,,,,,,,,,,,,
16307.4209,7.9793,146295204777.1270,,,,,,,,,,1.46295E+11,,,,,,,,,,,,,,,,,
18437.6444,9.0439,136161051994.7910,,,,,,,,,,1.36161E+11,,,,,,,,,,,,,,,,,
18437.6444,8.3991,157137316412.4530,,,,,,,,,,1.57137E+11,,,,,,,,,,,,,,,,,
18437.6444,7.9711,165575669685.7460,,,,,,,,,,1.65576E+11,,,,,,,,,,,,,,,,,
18437.6444,9.9862,132164580268.5790,,,,,,,,,,1.32165E+11,,,,,,,,,,,,,,,,,
18437.6444,8.6394,152766477168.4000,,,,,,,,,,1.52766E+11,,,,,,,,,,,,,,,,,
18437.6444,7.7847,169540486209.4060,,,,,,,,,,1.6954E+11,,,,,,,,,,,,,,,,,
18437.6444,8.2657,159673903912.8880,,,,,,,,,,1.59674E+11,,,,,,,,,,,,,,,,,
18437.6444,8.7370,151061299333.4020,,,,,,,,,,1.51061E+11,,,,,,,,,,,,,,,,,
18437.6444,8.4845,155556187117.7020,,,,,,,,,,1.55556E+11,,,,,,,,,,,,,,,,,
18437.6444,7.6571,172365430692.5140,,,,,,,,,,1.72365E+11,,,,,,,,,,,,,,,,,
18437.6444,9.2426,142796828496.0880,,,,,,,,,,1.42797E+11,,,,,,,,,,,,,,,,,
18437.6444,7.9751,165492497966.3150,,,,,,,,,,1.65492E+11,,,,,,,,,,,,,,,,,
22012.3813,9.0254,162890336393.8540,,,,,,,,,,1.6289E+11,,,,,,,,,,,,,,,,,
22012.3813,8.7987,179083445507.7470,,,,,,,,,,1.79083E+11,,,,,,,,,,,,,,,,,
22012.3813,9.2342,170638951262.9020,,,,,,,,,,1.70639E+11,,,,,,,,,,,,,,,,,
22012.3813,9.2599,170163989255.9930,,,,,,,,,,1.70164E+11,,,,,,,,,,,,,,,,,
22012.3813,8.3836,187950578884.3470,,,,,,,,,,1.87951E+11,,,,,,,,,,,,,,,,,
22012.3813,8.8629,177786782681.2520,,,,,,,,,,1.77787E+11,,,,,,,,,,,,,,,,,
22012.3813,9.0590,173939011361.2430,,,,,,,,,,1.73939E+11,,,,,,,,,,,,,,,,,
22012.3813,9.0535,174043229774.2560,,,,,,,,,,1.74043E+11,,,,,,,,,,,,,,,,,
22012.3813,7.4307,212054580636.8970,,,,,,,,,,2.12055E+11,,,,,,,,,,,,,,,,,
22012.3813,8.0367,196064369322.7160,,,,,,,,,,1.96064E+11,,,,,,,,,,,,,,,,,
22012.3813,8.0724,195196666913.3360,,,,,,,,,,1.95197E+11,,,,,,,,,,,,,,,,,
22012.3813,7.1208,221283266244.0290,,,,,,,,,,2.21283E+11,,,,,,,,,,,,,,,,,
25997.8799,8.4932,210719986748.9430,,,,,,,,,,2.1072E+11,,,,,,,,,,,,,,,,,
25997.8799,7.5948,245036442868.3550,,,,,,,,,,2.45036E+11,,,,,,,,,,,,,,,,,
25997.8799,7.7102,241368200672.6720,,,,,,,,,,2.41368E+11,,,,,,,,,,,,,,,,,
25997.8799,7.7667,239613828454.0210,,,,,,,,,,2.39614E+11,,,,,,,,,,,,,,,,,
25997.8799,7.3207,254212038838.8620,,,,,,,,,,2.54212E+11,,,,,,,,,,,,,,,,,
25997.8799,7.2878,255358559509.7610,,,,,,,,,,2.55359E+11,,,,,,,,,,,,,,,,,
25997.8799,7.3267,254002560707.4630,,,,,,,,,,2.54003E+11,,,,,,,,,,,,,,,,,
25997.8799,6.4428,288849018296.6270,,,,,,,,,,2.88849E+11,,,,,,,,,,,,,,,,,
25997.8799,6.2053,299904260596.6920,,,,,,,,,,2.99904E+11,,,,,,,,,,,,,,,,,
25997.8799,6.2291,298756835824.7020,,,,,,,,,,2.98757E+11,,,,,,,,,,,,,,,,,
36459.8869,6.7862,359600812272.1930,,,,,,,,,,3.59601E+11,,,,,,,,,,,,,,,,,
36459.8869,8.9220,292522509605.9880,,,,,,,,,,2.92523E+11,,,,,,,,,,,,,,,,,
36459.8869,7.2575,359614659737.3790,,,,,,,,,,3.59615E+11,,,,,,,,,,,,,,,,,
36459.8869,7.4523,350213156493.8700,,,,,,,,,,3.50213E+11,,,,,,,,,,,,,,,,,
36459.8869,6.7397,387245542090.9130,,,,,,,,,,3.87246E+11,,,,,,,,,,,,,,,,,
36459.8869,5.9880,435855304232.9250,,,,,,,,,,4.35855E+11,,,,,,,,,,,,,,,,,
36459.8869,6.9743,374215981638.7340,,,,,,,,,,3.74216E+11,,,,,,,,,,,,,,,,,
36459.8869,6.4073,407330199664.6450,,,,,,,,,,4.0733E+11,,,,,,,,,,,,,,,,,
36459.8869,5.2118,500769926665.3370,,,,,,,,,,5.0077E+11,,,,,,,,,,,,,,,,,
55589.5181,5.8570,548132663685.9020,,,,,,,,,,5.48133E+11,,,,,,,,,,,,,,,,,
55589.5181,9.5314,417486848831.3040,,,,,,,,,,4.17487E+11,,,,,,,,,,,,,,,,,
55589.5181,11.2096,354985659131.8080,,,,,,,,,,3.54986E+11,,,,,,,,,,,,,,,,,
55589.5181,8.6093,462202614317.3840,,,,,,,,,,4.62203E+11,,,,,,,,,,,,,,,,,
55589.5181,7.7415,514016554176.5920,,,,,,,,,,5.14017E+11,,,,,,,,,,,,,,,,,
55589.5181,6.4795,614130809382.4620,,,,,,,,,,6.14131E+11,,,,,,,,,,,,,,,,,
55589.5181,5.1643,770536874897.1150,,,,,,,,,,7.70537E+11,,,,,,,,,,,,,,,,,
55589.5181,5.2833,753170859164.9990,,,,,,,,,,7.53171E+11,,,,,,,,,,,,,,,,,
55589.5181,6.8531,580651674238.9270,,,,,,,,,,5.80652E+11,,,,,,,,,,,,,,,,,
55589.5181,7.7132,515902282827.3210,,,,,,,,,,5.15902E+11,,,,,,,,,,,,,,,,,
76192.6193,8.9702,500124910043.4790,,,,,,,,,,5.00125E+11,,,,,,,,,,,,,,,,,
76192.6193,13.1477,414830641456.1170,,,,,,,,,,4.14831E+11,,,,,,,,,,,,,,,,,
76192.6193,11.0287,494534375037.6320,,,,,,,,,,4.94534E+11,,,,,,,,,,,,,,,,,
76192.6193,10.3301,527978439850.8590,,,,,,,,,,5.27978E+11,,,,,,,,,,,,,,,,,
76192.6193,12.0926,451026535168.0230,,,,,,,,,,4.51027E+11,,,,,,,,,,,,,,,,,
76192.6193,12.9438,421367852302.1180,,,,,,,,,,4.21368E+11,,,,,,,,,,,,,,,,,
76192.6193,12.9213,422100615321.0580,,,,,,,,,,4.22101E+11,,,,,,,,,,,,,,,,,
76192.6193,10.6249,513331110255.0440,,,,,,,,,,5.13331E+11,,,,,,,,,,,,,,,,,
76192.6193,10.2235,533483460353.9410,,,,,,,,,,5.33483E+11,,,,,,,,,,,,,,,,,
76192.6193,11.9443,456625972340.3280,,,,,,,,,,4.56626E+11,,,,,,,,,,,,,,,,,
76192.6193,12.4830,436919101318.0220,,,,,,,,,,4.36919E+11,,,,,,,,,,,,,,,,,
